,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
0,3M Company,MMM,0.516427,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,1902
1,A. O. Smith Corporation,AOS,0.030654,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26 00:00:00,1916
2,Abbott Laboratories,ABT,0.552846,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31 00:00:00,1888
3,AbbVie Inc.,ABBV,0.588628,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31 00:00:00,2013 (1888)
4,ABIOMED Inc.,ABMD,0.064892,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31 00:00:00,1981
5,Accenture Plc Class A,ACN,0.42584,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06 00:00:00,1989
6,Activision Blizzard Inc.,ATVI,0.165377,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31 00:00:00,2008
7,Adobe Inc.,ADBE,0.526666,Information Technology,Application Software,"San Jose, California",1997-05-05 00:00:00,1982
8,Advance Auto Parts Inc.,AAP,0.05364,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09 00:00:00,1932
9,Advanced Micro Devices Inc.,AMD,0.081975,Information Technology,Semiconductors,"Sunnyvale, California",2017-03-20 00:00:00,1969
10,AES Corporation,AES,0.045371,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02 00:00:00,1981
11,Affiliated Managers Group Inc.,AMG,0.025065,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014-07-01 00:00:00,1993
12,Aflac Incorporated,AFL,0.161577,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28 00:00:00,1955
13,Agilent Technologies Inc.,A,0.101563,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05 00:00:00,1999
14,Air Products and Chemicals Inc.,APD,0.155985,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30 00:00:00,1940
15,Akamai Technologies Inc.,AKAM,0.047131,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12 00:00:00,1998
16,Alaska Air Group Inc.,ALK,0.036193,Industrials,Airlines,"Seattle, Washington",2016-05-13 00:00:00,1985
17,Albemarle Corporation,ALB,0.038261,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016-07-01 00:00:00,1994
18,Alexandria Real Estate Equities Inc.,ARE,0.057782,Real Estate,Office REITs,"Pasadena, California",2017-03-20 00:00:00,1994
19,Alexion Pharmaceuticals Inc.,ALXN,0.109932,Health Care,Biotechnology,"Cheshire, Connecticut",2012-05-25 00:00:00,1992
20,Align Technology Inc.,ALGN,0.065052,Health Care,Health Care Supplies,"San Jose, California",2017-06-19 00:00:00,1997
21,Allegion PLC,ALLE,0.035626,Industrials,Building Products,"Dublin, Ireland",2013-12-02 00:00:00,1908
22,Allergan plc,AGN,0.218414,Health Care,Pharmaceuticals,"Dublin, Ireland",1999-04-12 00:00:00,1983
23,Alliance Data Systems Corporation,ADS,0.036553,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013-12-23 00:00:00,1996
24,Alliant Energy Corp,LNT,0.044201,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01 00:00:00,1917
25,Allstate Corporation,ALL,0.132807,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13 00:00:00,1931
26,Alphabet Inc. Class A,GOOGL,1.44951,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03 00:00:00,1998
27,Alphabet Inc. Class C,GOOG,1.481997,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03 00:00:00,1998
28,Altria Group Inc,MO,0.41671,Consumer Staples,Tobacco,"Richmond, Virginia",,1985
29,Amazon.com Inc.,AMZN,3.062531,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18 00:00:00,1994
30,Ameren Corporation,AEE,0.072191,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19 00:00:00,1902
31,American Airlines Group Inc.,AAL,0.059525,Industrials,Airlines,"Fort Worth, Texas",2015-03-23 00:00:00,1934
32,American Electric Power Company Inc.,AEP,0.166769,Utilities,Electric Utilities,"Columbus, Ohio",,1906
33,American Express Company,AXP,0.318883,Financials,Consumer Finance,"New York, New York",1976-06-30 00:00:00,1850
34,American International Group Inc.,AIG,0.170788,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31 00:00:00,1919
35,American Tower Corporation,AMT,0.327794,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19 00:00:00,1995
